Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Struktoru 7 [Karte],69 000 € (2 225.81 €/m²),1/3,Teika,Renov.,,2,31 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/bbhfjc.html,Parkošanas vieta
Maskavas 250/1 [Karte],45 500 € (1 083.33 €/m²),4/5,Ķengarags,Hrušč.,,2,42 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/emlco.html,"Balkons, Parkošanas vieta"
Madonas 2 [Karte],70 000 € (2 121.21 €/m²),2/4,Purvciems,Jaun.,,2,33 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ahcmb.html,"Balkons, Parkošanas vieta"
Kurzemes pr. 88 [Karte],48 900 € (815 €/m²),3/5,Imanta,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/bemobx.html,
Līvciema 9 k-2 [Karte],87 000 € (1 225.35 €/m²),5/5,Ziepniekkalns,Specpr.,,3,71 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bghmm.html,Lodžija
Vaidavas 2 [Karte],41 500 € (1 185.71 €/m²),5/5,Purvciems,Specpr.,,1,35 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/alpdj.html,
Brīvības gatve 237 [Karte],104 000 € (1 350.65 €/m²),3/5,Teika,Specpr.,,3,77 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/cgkbc.html,Lodžija
Brīvības gatve 241 [Karte],77 000 € (1 452.83 €/m²),3/5,Teika,Specpr.,,2,53 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/cefeb.html,Lodžija
Krāsotāju 18 [Karte],35 000 € (700 €/m²),1/5,centrs,P. kara,,2,50 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cfkgj.html,
Kurzemes pr. 56 [Karte],55 000 € (1 018.52 €/m²),5/5,Imanta,LT proj.,,3,54 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ajebf.html,Lodžija
Kuģu 26 [Karte],298 000 € (2 709.09 €/m²),2/5,Āgenskalns,Renov.,,3,110 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ffxde.html,"Balkons, Terase"
Krāsotāju 18 [Karte],69 000 € (1 254.55 €/m²),5/5,centrs,P. kara,,2,55 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bepeij.html,
Ernestīnes 15 [Karte],19 000 € (558.82 €/m²),2/2,Āgenskalns,Specpr.,,2,34 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/dnfkn.html,
Rūpniecības 34а [Karte],325 000 € (2 226.03 €/m²),3/6/lifts,centrs,Jaun.,01009257383,4,146 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cpbne.html,"Pirts, Parkošanas vieta"
Lemešu 7 [Karte],39 000 € (1 026.32 €/m²),3/5,Bolderāja,LT proj.,,2,38 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/aexgd.html,
Vadakstes 17 [Karte],56 000 € (1 018.18 €/m²),2/5,Ziepniekkalns,103.,01005740034,2,55 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/cxcnl.html,Lodžija
Zaļenieku 21/4 [Karte],122 500 € (2 149.12 €/m²),1/3,Ziepniekkalns,Jaun.,01000790368008004,2,57 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/fmihh.html,Terase
Pļavnieku 6 [Karte],65 000 € (1 274.51 €/m²),4/9/lifts,Pļavnieki,602.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/adhhf.html,Lodžija
Bišu 17 [Karte],28 000 € (903.23 €/m²),3/3,Āgenskalns,P. kara,,1,31 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/bxefp.html,
Lielirbes 13 [Karte],159 000 € (1 728.26 €/m²),9/30/lifts,Šampēteris-Pleskodāle,Jaun.,,3,92 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/agcpx.html,
Rūpniecības 13/15 [Karte],365 000 € (3 093.22 €/m²),1/5/lifts,centrs,P. kara,,3,118 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bjlex.html,Parkošanas vieta
Kurzemes pr. 154 [Karte],47 000 € (940 €/m²),5/9,Imanta,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/bemhbn.html,Parkošanas vieta
Lielezeres 10 [Karte],124 000 € (1 850.75 €/m²),3/5/lifts,Dzegužkalns,Jaun.,,2,67 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/ccpxo.html,"Balkons, Parkošanas vieta"
Tīnūžu 7 [Karte],33 000 € (846.15 €/m²),1/12/lifts,Pļavnieki,M. ģim.,,1,39 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/hcnpd.html,"Lodžija, Parkošanas vieta"
Riekstu 11 [Karte],115 000 € (1 455.70 €/m²),1/5/lifts,Iļģuciems,Jaun.,,3,79 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/ibbfx.html,"Balkons, Parkošanas vieta"
Eizenšteina 35 [Karte],57 900 € (742.31 €/m²),4/9/lifts,Mežciems,602.,,4,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/abhkf.html,
Laboratorijas 23 [Karte],17 000 € (850 €/m²),1/2,centrs,P. kara,,1,20 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cbojk.html,
Lokomotīves 52 [Karte],67 000 € (1 288.46 €/m²),8/12/lifts,Ķengarags,Čehu pr.,,2,52 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/gofpl.html,Lodžija
Ģertrūdes 71 [Karte],260 000 € (2 000 €/m²),6/6,centrs,P. kara,,3,130 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aipln.html,"Terase, Parkošanas vieta"
Bajāru 14 [Karte],215 000 € (2 388.89 €/m²),4/5/lifts,Teika,Jaun.,,4,90 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/gjppe.html,"Balkons, Parkošanas vieta"
Lubānas 41/1 [Karte],28 000 € (903.23 €/m²),1/2,Pļavnieki,Staļina,,1,31 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/comhb.html,Parkošanas vieta
Eizenšteina 45 [Karte],54 900 € (871.43 €/m²),6/9,Mežciems,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/iceln.html,"Lodžija, Parkošanas vieta"
Prūšu 3/3 [Karte],46 000 € (766.67 €/m²),1/5,Ķengarags,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dmhbf.html,
Viršu 6 [Karte],46 900 € (997.87 €/m²),8/12/lifts,Purvciems,104.,,1,47 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cmigx.html,Lodžija
Vienības g. 192 [Karte],98 000 € (1 531.25 €/m²),5/6/lifts,Ziepniekkalns,Jaun.,,2,64 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/aobgl.html,
Pļavas 4 [Karte],162 500 € (2 195.95 €/m²),3/3,centrs,Renov.,,4,74 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/djxlo.html,Parkošanas vieta
Viestura pr. 35 [Karte],45 500 € (989.13 €/m²),4/10,Sarkandaugava,Specpr.,,2,46 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bcklgd.html,Lodžija
Dzelzavas 25 [Karte],64 000 € (1 032.26 €/m²),7/9,Purvciems,602.,,3,62 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dfidx.html,
Vienības g. 62 [Karte],31 000 € (673.91 €/m²),1/3,Ziepniekkalns,P. kara,,2,46 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dpllc.html,
Kaivas 50 k-1 [Karte],120 000 € (1 886.79 €/m²),2/5/lifts,Mežciems,Jaun.,01000920626008137,2,63.60 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/bccxk.html,"Balkons, Parkošanas vieta"
Rinkas 1 [Karte],35 000 € (700 €/m²),2/5,Vecmīlgrāvis,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/exbcd.html,Lodžija
Zaļā 4 [Karte],178 000 € (1 913.98 €/m²),6/6/lifts,centrs,Specpr.,01009050164,3,93 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/acxkh.html,"Balkons, Parkošanas vieta"
Salnas 13 [Karte],78 500 € (1 006.41 €/m²),3/9/lifts,Pļavnieki,602.,,4,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/bbbbe.html,Lodžija
Baltāsbaznīcas 44 [Karte],58 000 € (865.67 €/m²),2/3,Vecmīlgrāvis,Staļina,,3,67 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/egibg.html,
Grestes 4 [Karte],34 500 € (1 078.13 €/m²),1/9/lifts,Pļavnieki,602.,,1,32 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/cmlik.html,Lodžija
Pavasara g. 5 [Karte],63 000 € (1 211.54 €/m²),6/9/lifts,Pļavnieki,602.,01001211238001,2,52 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/fmnjd.html,"Balkons, Lodžija, Parkošanas vieta"
Bauskas 63 [Karte],82 500 € (1 556.60 €/m²),5/5,Ziepniekkalns,103.,01000520019001040,2,53 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/ahbnc.html,"Lodžija, Parkošanas vieta"
Akāciju 2e [Karte],120 000 € (2 181.82 €/m²),1/9/lifts,Imanta,Jaun.,,3,55 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/gxljc.html,
Dombrovska 75 [Karte],43 000 € (767.86 €/m²),1/5,Vecmīlgrāvis,103.,,2,56 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/diiii.html,Lodžija
Zvaigznāja g. 14 [Karte],39 500 € (806.12 €/m²),2/5,Purvciems,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/feffj.html,Lodžija
Zentenes 26 [Karte],42 000 € (857.14 €/m²),4/5,Imanta,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/acfbj.html,
Bruņinieku 79c [Karte],147 000 € (1 986.49 €/m²),5/5,centrs,P. kara,,3,74 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahjhb.html,Parkošanas vieta
Maskavas 285/1 [Karte],58 000 € (1 288.89 €/m²),4/5,Ķengarags,LT proj.,,2,45 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/hpold.html,Balkons
Dammes 12 [Karte],63 000 € (1 235.29 €/m²),6/9,Imanta,602.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/diiim.html,"Lodžija, Parkošanas vieta"
Palangas 7 [Karte],60 500 € (916.67 €/m²),5/5,Iļģuciems,LT proj.,,3,66 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/ecbdn.html,Balkons
Brīvības 103 [Karte],163 000 € (1 831.46 €/m²),3/6/lifts,centrs,P. kara,,3,89 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aaicf.html,Parkošanas vieta
Bērzpils 1 [Karte],50 000 € (1 190.48 €/m²),4/5,Teika,Čehu pr.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/cihcl.html,Balkons
Rasas 30 [Karte],56 500 € (1 130 €/m²),1/5,Ķengarags,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/nkmfl.html,"Lodžija, Parkošanas vieta"
Kalnciema 105 [Karte],105 000 € (1 418.92 €/m²),2/5,Āgenskalns,Specpr.,,4,74 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/adlpf.html,"Balkons, Parkošanas vieta"
Skanstes 29a [Karte],300 000 € (3 243.24 €/m²),23/24/lifts,centrs,Jaun.,,2,92.50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aaekd.html,Lodžija
Rusova 32 [Karte],40 000 € (930.23 €/m²),5/5,Čiekurkalns,M. ģim.,,1,43 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/allgx.html,"Lodžija, Parkošanas vieta"
Grestes 10 [Karte],70 000 € (921.05 €/m²),3/9/lifts,Pļavnieki,602.,,4,76 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/boeoh.html,Lodžija
Viestura pr. 37 [Karte],48 000 € (1 021.28 €/m²),6/9,Sarkandaugava,Specpr.,,2,47 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/fkfei.html,Lodžija
Vecmīlgrāvja 1. l. 47 [Karte],43 000 € (843.14 €/m²),5/5,Vecmīlgrāvis,LT proj.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/fdxbp.html,Lodžija
Robežu 3/6 [Karte],38 000 € (791.67 €/m²),3/3,Torņakalns,Hrušč.,,2,48 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/fbmkp.html,
Āžu 5 [Karte],40 900 € (908.89 €/m²),1/5,Sarkandaugava,103.,,2,45 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/gggkk.html,
Atpūtas 11 [Karte],200 000 € (2 105.26 €/m²),2/3,Āgenskalns,P. kara,01000560208001002,5,95 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ebegd.html,"Balkons, Terase, Parkošanas vieta"
Atpūtas 11 [Karte],170 000 € (2 125 €/m²),1/3,Āgenskalns,P. kara,01000560208001001,3,80 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/aondk.html,"Terase, Parkošanas vieta"
Jelgavas 63 [Karte],165 000 € (2 115.38 €/m²),3/6,Torņakalns,Renov.,,3,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/agood.html,"Balkons, Parkošanas vieta"
Mārkalnes 1 [Karte],8 500 € (472.22 €/m²),5/5,Jugla,Hrušč.,,1,18 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/anhcj.html,
Kreimeņu 6 [Karte],22 990 € (821.07 €/m²),1/5,Vecmīlgrāvis,LT proj.,,1,28 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bophg.html,
Kaivas 31/1 [Karte],167 000 € (2 087.50 €/m²),2/4,Mežciems,Jaun.,,3,80 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/hxhfc.html,"Balkons, Parkošanas vieta"
Gobas 31 [Karte],30 000 € (638.30 €/m²),2/5,Bolderāja,Hrušč.,,2,47 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/ejgxm.html,Balkons
Pavasara g. 4 [Karte],33 000 € (970.59 €/m²),7/9/lifts,Pļavnieki,602.,,1,34 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ejklg.html,Lodžija
Ikšķiles 11 [Karte],45 000 € (1 184.21 €/m²),4/5,Ķengarags,LT proj.,,2,38 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dicmg.html,Parkošanas vieta
Ausekļa 6a [Karte],375 000 € (2 016.13 €/m²),1/5,centrs,P. kara,,5,186 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/clglf.html,
M. Muzeja 1 [Karte],129 000 € (2 186.44 €/m²),1/5,Vecrīga,Renov.,,2,59 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/dbipk.html,
Maskavas 250/1 [Karte],40 000 € (952.38 €/m²),5/5,Ķengarags,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dmdkx.html,Balkons
Birzes 40 [Karte],32 500 € (613.21 €/m²),4/5,Daugavgrīva,103.,,2,53 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/ahibd.html,"Lodžija, Parkošanas vieta"
Martas 9 [Karte],225 000 € (2 500 €/m²),3/6,centrs,P. kara,01000220089003025,3,90 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afnmj.html,Parkošanas vieta
Birzes 40 [Karte],32 900 € (620.75 €/m²),2/5,Daugavgrīva,103.,,2,53 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/eexix.html,"Lodžija, Parkošanas vieta"
Ilūkstes 103 [Karte],60 000 € (1 132.08 €/m²),4/5,Purvciems,103.,,2,53 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gjlfc.html,Balkons
Ropažu 122 k-5 [Karte],45 000 € (978.26 €/m²),1/2,Teika,Staļina,,2,46 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/amfpc.html,
Raņķa d. 9 [Karte],269 900 € (2 249.17 €/m²),6/6/lifts,Āgenskalns,Jaun.,,4,120 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/bcilgx.html,
Raņķa d. 9 [Karte],269 900 € (2 249.17 €/m²),6/6/lifts,Āgenskalns,Jaun.,,3,120 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/bbnnkf.html,
Ciemupes 1 [Karte],75 000 € (1 500 €/m²),1/9/lifts,Jugla,Jaun.,,2,50 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/chbjl.html,Parkošanas vieta
Mildas 6/2 [Karte],39 500 € (790 €/m²),1/5,Vecmīlgrāvis,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/efjlo.html,"Lodžija, Parkošanas vieta"
Ģertrūdes 71 [Karte],460 000 € (2 000 €/m²),5/5,centrs,P. kara,,6,230 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afmxj.html,
Skodas 4 [Karte],44 900 € (955.32 €/m²),3/5,Iļģuciems,LT proj.,,2,47 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/amdlx.html,Lodžija
Daugavgrīvas 55 [Karte],62 000 € (1 240 €/m²),1/2,Dzegužkalns,P. kara,,2,50 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/cncdx.html,
Avotu 66a [Karte],67 000 € (1 914.29 €/m²),1/5,centrs,P. kara,01000370040,2,35 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/emicc.html,
Rasas 4 [Karte],39 900 € (782.35 €/m²),4/5,Ķengarags,LT proj.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/enxgh.html,"Lodžija, Parkošanas vieta"
Ģimnastikas 13 [Karte],20 000 € (606.06 €/m²),2/2,Ziepniekkalns,P. kara,,2,33 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/giilj.html,Parkošanas vieta
Barona 92 [Karte],69 000 € (1 000 €/m²),1/4,centrs,P. kara,01000330025,3,69 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ekphj.html,Parkošanas vieta
Jasmuižas 3 [Karte],55 000 € (887.10 €/m²),1/9/lifts,Pļavnieki,602.,,3,62 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/aixfk.html,Lodžija
Liepkalna 9 [Karte],49 000 € (1 633.33 €/m²),1/1,Jugla,Specpr.,132,1,30 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/agfgm.html,Parkošanas vieta
Maskavas 222c [Karte],71 900 € (1 198.33 €/m²),4/9/lifts,Ķengarags,467.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbjpgx.html,Lodžija
Lielupes 1/7 [Karte],30 500 € (693.18 €/m²),4/4,Bolderāja,Hrušč.,,2,44 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/hhjfh.html,Balkons
Vidzemes al. 6 [Karte],69 000 € (1 210.53 €/m²),4/5,Jugla,Hrušč.,,3,57 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/afgpe.html,"Balkons, Parkošanas vieta"
Ēbeļmuižas 28 [Karte],43 999 € (1 333.30 €/m²),4/9/lifts,Ziepniekkalns,602.,,1,33 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/ahjfb.html,"Lodžija, Parkošanas vieta"
Sadovņikova 22 [Karte],73 000 € (2 085.71 €/m²),1/4,centrs,Renov.,,2,35 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/acgfm.html,Parkošanas vieta
Stirnu 15a [Karte],43 900 € (1 125.64 €/m²),4/5,Purvciems,LT proj.,,2,39 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/amkfe.html,"Balkons, Parkošanas vieta"
Aptiekas 8 [Karte],68 000 € (860.76 €/m²),5/5,Sarkandaugava,Staļina,,3,79 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/fpbgo.html,Parkošanas vieta
Maskavas 268/3 [Karte],38 000 € (644.07 €/m²),5/5,Ķengarags,LT proj.,,3,59 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/afohg.html,Balkons
Esplanādes 5 [Karte],29 800 € (551.85 €/m²),5/5,Daugavgrīva,103.,,2,54 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/ciljo.html,"Lodžija, Parkošanas vieta"
Aspazijas bulv. 30 [Karte],550 000 € (5 445.54 €/m²),2/6,Vecrīga,P. kara,,3,101 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/ahhdf.html,
Pīļu 4 [Karte],44 500 € (1 483.33 €/m²),4/5,Purvciems,LT proj.,,1,30 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fdeob.html,"Balkons, Parkošanas vieta"
Ilūkstes 4 [Karte],36 000 € (782.61 €/m²),5/9,Pļavnieki,M. ģim.,,1,46 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/blhlc.html,"Lodžija, Parkošanas vieta"
Dzirciema 71 [Karte],59 000 € (967.21 €/m²),8/9,Iļģuciems,602.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/bohpg.html,Lodžija
Stabu 81 [Karte],93 900 € (853.64 €/m²),1/5,centrs,P. kara,,4,110 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agcch.html,"Lodžija, Parkošanas vieta"
Kaņiera 16 [Karte],49 000 € (1 441.18 €/m²),12/12,Ķengarags,Specpr.,,1,34 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbinbj.html,Lodžija
Kaņiera 4a [Karte],41 800 € (1 071.79 €/m²),2/5,Ķengarags,LT proj.,,2,39 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/fgnjb.html,"Balkons, Parkošanas vieta"
Kaņiera 8 [Karte],48 000 € (786.89 €/m²),2/5,Ķengarags,LT proj.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/aigmm.html,"Balkons, Parkošanas vieta"
Vidzemes al. 3 [Karte],71 500 € (1 588.89 €/m²),11/12/lifts,Jugla,Čehu pr.,,3,45 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/fnofl.html,Parkošanas vieta
Jersikas 37 [Karte],134 000 € (1 472.53 €/m²),3/4,Maskavas priekšpilsēta,P. kara,,2,91 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/djcjk.html,Parkošanas vieta
Tallinas 54 [Karte],73 500 € (1 289.47 €/m²),5/5,centrs,P. kara,,2,57 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hcmgl.html,
Brīvības 133 [Karte],69 000 € (1 725 €/m²),4/4,centrs,P. kara,,2,40 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cokgk.html,
Īslīces 14 [Karte],33 999 € (971.40 €/m²),8/12,Ziepniekkalns,Specpr.,,1,35 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/gnmnd.html,
