Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Kojusalas 11 [Karte],19 900 € (995 €/m²),2/2,Maskavas priekšpilsēta,P. kara,,1,20 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/dhceh.html,Parkošanas vieta
Spilves 25 [Karte],79 000 € (1 234.38 €/m²),7/14/lifts,Iļģuciems,Specpr.,,3,64 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/aidph.html,Lodžija
Ūdens 12 [Karte],110 000 € (1 684.53 €/m²),3/4/lifts,Dzegužkalns,Jaun.,,1,65.30 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/dmcjk.html,
Lugažu 13 [Karte],19 000 € (633.33 €/m²),1/3,centrs,P. kara,,1,30 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adpnj.html,Parkošanas vieta
Puškina 13 [Karte],44 000 € (586.67 €/m²),2/2,centrs,P. kara,,3,75 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fmcjn.html,
Lāčplēša 53 [Karte],95 994 € (2 666.50 €/m²),1/5,centrs,Renov.,,2,36 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hxhgj.html,
Ilūkstes 54 k1 [Karte],36 850 € (944.87 €/m²),5/5,Purvciems,M. ģim.,,1,39 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aicmo.html,"Lodžija, Parkošanas vieta"
Nīcgales 53б [Karte],55 500 € (828.36 €/m²),4/5,Purvciems,103.,,3,67 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aeeem.html,Lodžija
Padures 1000 [Karte],64 000 € (914.29 €/m²),5/5,Ziepniekkalns,103.,,3,70 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/glnbj.html,"Balkons, Lodžija, Parkošanas vieta"
Mūkusalas 56 [Karte],92 000 € (2 421.05 €/m²),2/3,Āgenskalns,Renov.,,2,38 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/abhic.html,Parkošanas vieta
Hipokrāta 47 [Karte],31 000 € (968.75 €/m²),9/9/lifts,Mežciems,602.,,1,32 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/hkpjb.html,"Lodžija, Parkošanas vieta"
Ozolciema 56 [Karte],78 000 € (1 238.10 €/m²),6/9/lifts,Ziepniekkalns,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/ahhjl.html,"Lodžija, Parkošanas vieta"
Maskavas 85 [Karte],102 240 € (1 793.68 €/m²),4/5,Maskavas priekšpilsēta,Renov.,,2,57 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/bkiixl.html,Parkošanas vieta
Maskavas 85 [Karte],102 240 € (1 787.41 €/m²),4/5,centrs,Renov.,,2,57.20 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fgone.html,Parkošanas vieta
Zaļā 7 [Karte],134 000 € (1 763.16 €/m²),3/4,centrs,P. kara,,3,76 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gpcfo.html,
Kuģu 15 [Karte],170 000 € (2 698.41 €/m²),1/3,Klīversala,Renov.,,2,63 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/ebexc.html,
Kuģu 15 [Karte],290 000 € (2 959.18 €/m²),2/6/lifts,Klīversala,Jaun.,,3,98 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/cincp.html,Lodžija
Kuģu 15 [Karte],250 000 € (2 747.25 €/m²),2/3,Klīversala,Renov.,,3,91 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/aaamk.html,
Kuģu 15 [Karte],350 000 € (3 645.83 €/m²),5/6/lifts,Klīversala,Jaun.,,4,96 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/aexce.html,Lodžija
Kuģu 15 [Karte],189 000 € (3 150 €/m²),1/3,Klīversala,Renov.,,3,60 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/ebecc.html,
Kuģu 15 [Karte],295 000 € (3 010.20 €/m²),1/6/lifts,Klīversala,Jaun.,,3,98 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/ahdkj.html,
